index,name,loc,locc,locc,x,y
0,개포1호,서울,강남구,서울 강남구 개포동 1229-18,37.4762624,127.0469149
1,논현1호,서울,강남구,서울 강남구 논현동 184-21,37.5061076,127.0255293
2,대치1호,서울,강남구,서울 강남구 대치4동 913-25,37.5016096,127.0584344
3,대치2호,서울,강남구,서울 강남구 대치동 990번지 삼성상가 113호 1/2,37.4992038,127.0630994
4,삼성1호,서울,강남구,서울 강남구 삼성동 44-18,37.5120431,127.0490227
5,세곡,서울,강남구,서울 강남구 자곡동 611,37.4741298,127.0940866
6,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호,37.5275496,127.0362962
7,역삼1호,서울,강남구,서울 강남구 역삼동 837-15,37.4919068,127.0321712
8,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호,37.4848962,127.0906776
9,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가,37.5201252,127.0514064
10,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔,37.5643885,127.1736826
11,고덕1호,서울,강동구,서울 강동구 고덕동 650-1,37.5598079,127.1516581
12,길1호,서울,강동구,서울 강동구 길동 347-31,37.5411123,127.1425668
13,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5,37.531208,127.1420087
14,명일1호,서울,강동구,서울 강동구 명일동 328-2,37.5496699,127.1469283
15,성내,서울,강동구,서울 강동구 성내2동 509-7 1층,37.531352,127.1279591
16,암사1호,서울,강동구,서울 강동구 천호동 287-22,37.5478528,127.1275048
17,암사2호,서울,강동구,서울 강동구 암사동 446-18,37.5549876,127.13474
18,천호1호,서울,강동구,서울 강동구 천호동 550번지,37.5403683,127.1287952
19,덕성여대,서울,강북구,서울 강북구 우이동 72-148,37.6498226,127.0133013
20,미아1호,서울,강북구,서울 강북구 미아5동 1264-233,37.615278,127.0223673
21,미아역,서울,강북구,서울 강북구 미아동 131-8,37.6215401,127.0283984
22,수유1호,서울,강북구,서울 강북구 수유동 385-2,37.6409986,127.0173981
23,수유역점,서울,강북구,서울 강북구 번동 461-127,37.6388945,127.0287879
24,가양,서울,강서구,서울 강서구 등촌동 75-1,37.5612529,126.853997
25,강서구청,서울,강서구,서울 강서구 화곡6동 987-7,37.5503387,126.848044
26,까치산역,서울,강서구,서울 강서구 화곡동 343-62 라인씨티 1층,37.5307753,126.8467758
27,등촌,서울,강서구,서울 강서구 등촌동 649-14,37.5522111,126.863306
29,발산역,서울,강서구,서울 강서구 내발산동 655-6번지 1층 13호,37.5565044,126.8372612
30,방화2호,서울,강서구,서울 강서구 방화2동 580-27,37.5705629,126.8123262
31,염창,서울,강서구,서울 강서구 염창동 250-16,37.5503162,126.8734651
32,화곡2호,서울,강서구,서울 강서구 화곡동 400-45,37.5382621,126.8409616
33,봉천2호,서울,관악구,서울 관악구 봉천동 1674-20,37.4792834,126.9587073
34,봉천3호,서울,관악구,서울 관악구 봉천동 1632-9,37.4759504,126.9640861
35,봉천4호,서울,관악구,서울 관악구 봉천동 931-12,37.483279,126.941222
36,봉천5호,서울,관악구,서울 관악구 봉천3동 7-291,37.4885019,126.95827
37,신림1호,서울,관악구,서울 관악구 신림4동 504-22,37.4848626,126.9164235
38,신림2호,서울,관악구,서울 관악구 신림동 762-7,37.4772108,126.9125848
39,신림3호,서울,관악구,서울 관악구 신림9동 246-49,37.4686061,126.9378208
40,건대,서울,광진구,서울 광진구 화양동 9-18,37.5417016,127.0694024
41,구의1호,서울,광진구,서울 광진구 구의3동 659번지 세림리오빌 비1-4호,37.5393041,127.0919908
